site_id,meter,building_id,min_edge,max_edge,do_const
0,0,3,1,,
0,0,7,200,,
0,1,7,30,,1
0,0,8,100,,
0,1,9,,,1
0,0,11,300,,
0,1,14,120,,
0,0,15,100,,
0,0,16,500,,
0,0,18,1000,,
0,0,19,100,,
0,0,20,200,,
0,0,22,1,,
0,0,23,400,1500,
0,0,24,300,,
0,0,25,100,,
0,0,26,20,,
0,0,27,100,,
0,0,29,250,,
0,0,30,200,,
0,0,31,200,,
0,0,32,100,,
0,0,34,100,,
0,0,35,60,,
0,0,39,100,,
0,0,40,1,,
0,0,42,500,,
0,0,43,30,,
0,1,43,,,1
0,0,45,1,,
0,0,47,,900,
0,1,50,100,,
0,0,52,,750,
0,0,53,1,,
0,0,55,1,,
0,1,60,1,25000,
0,0,61,70,,
0,0,62,200,,
0,0,63,60,,
0,0,68,1,,
0,0,71,25,,
0,0,74,50,,
0,0,75,100,,
0,1,75,,,1
0,0,76,1000,,
0,1,76,1,,
0,0,79,100,,
0,0,80,500,,
0,0,82,1,,
0,0,84,1,,
0,0,85,30,,
0,0,86,1,,
0,0,89,500,,
0,0,90,100,,
0,0,91,100,,
0,0,94,1,,
0,1,95,,,1
0,1,96,1,,
0,1,97,,,1
0,1,98,,,1
0,0,99,1,,
0,0,100,,330,
0,0,101,,400,
0,0,102,1,,
0,1,103,,5000,
0,0,103,1,,
1,0,105,30,,1
1,0,106,,,1
1,0,107,,,1
1,0,107,50,,
1,0,108,,,1
1,0,109,,,1
1,0,110,,500,1
1,0,111,,,1
1,0,112,1,,1
1,0,112,30,,
1,3,112,,1000,
1,0,113,200,600,1
1,3,113,,150,
1,0,114,400,,1
1,3,114,,1000,
1,0,115,300,,1
1,0,116,80,,
1,0,117,20,,1
1,3,117,,160,
1,0,118,20,,
1,0,119,300,,1
1,3,119,,1300,
1,0,120,85,,1
1,0,121,30,,
1,3,121,,2000,
1,0,122,150,,
1,0,123,50,,
1,0,124,1,,
1,0,125,50,,
1,0,127,10,,1
1,0,128,40,,
1,0,129,40,,
1,0,132,20,,
1,0,133,20,,
1,0,136,20,,1
1,0,137,20,,1
1,0,138,,,1
1,3,138,,250,
1,0,139,,,1
1,3,139,,400,
1,0,140,,,1
1,0,141,,,1
1,0,142,,,1
1,0,143,,,1
1,0,144,,,1
1,3,144,,80,
1,0,145,,,1
1,3,145,,2000,
1,0,147,50,,1
1,0,148,50,,
1,0,149,52,,1
1,0,150,250,,
1,0,152,5,,1
1,0,153,1,,
1,0,154,150,,
1,0,155,30,,1
2,0,164,1,,
2,1,166,,3000,
2,0,168,150,,
2,1,168,,3500,
2,0,169,150,,
2,0,170,1,,
2,0,172,1,,
2,0,174,50,,
2,0,175,1,,
2,0,177,,,1
2,0,180,,,1
2,1,180,,,1
2,0,182,,50,
2,1,187,,800,
2,0,188,,38,
2,0,189,1,,
2,1,189,,250,
2,0,190,1,,
2,0,191,,,1
2,0,192,300,,
2,1,192,,,1
2,0,196,1,,
2,0,198,1,,
2,0,199,1,,
